state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change,county_name,pollutant
06,037,0002,88101,21,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2019,Micrograms/cubic meter (LC),Events Excluded,59,100.0,Y,60,60,0,0,0.0,0.0,Certified,9.686441,5.143005,28.9,2019-11-14 00:00,21.5,2019-01-30 00:00,19.0,2019-12-14 00:00,17.4,2019-04-24 00:00,,,,,28.9,21.5,19.0,15.0,12.4,9.7,3.0,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18,LosAngeles_CA,PM25
06,037,0002,88101,21,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2019,Micrograms/cubic meter (LC),Events Excluded,59,100.0,Y,60,60,0,0,,,Certified,9.686441,5.143005,28.9,2019-11-14 00:00,21.5,2019-01-30 00:00,19.0,2019-12-14 00:00,17.4,2019-04-24 00:00,,,,,28.9,21.5,19.0,15.0,12.4,9.7,3.0,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18,LosAngeles_CA,PM25
06,037,0002,88101,21,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2019,Micrograms/cubic meter (LC),Events Excluded,59,100.0,Y,60,60,0,0,0.0,0.0,Certified,9.686441,5.143005,28.9,2019-11-14 00:00,21.5,2019-01-30 00:00,19.0,2019-12-14 00:00,17.4,2019-04-24 00:00,,,,,28.9,21.5,19.0,15.0,12.4,9.7,3.0,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18,LosAngeles_CA,PM25
06,037,0002,88101,21,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2019,Micrograms/cubic meter (LC),Events Excluded,59,100.0,Y,60,60,0,0,,,Certified,9.686441,5.143005,28.9,2019-11-14 00:00,21.5,2019-01-30 00:00,19.0,2019-12-14 00:00,17.4,2019-04-24 00:00,,,,,28.9,21.5,19.0,15.0,12.4,9.7,3.0,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18,LosAngeles_CA,PM25
06,037,0002,88101,21,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 1997,Daily Mean,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2019,Micrograms/cubic meter (LC),Events Excluded,59,100.0,Y,60,60,0,0,0.0,0.0,Certified,9.686441,5.143005,28.9,2019-11-14 00:00,21.5,2019-01-30 00:00,19.0,2019-12-14 00:00,17.4,2019-04-24 00:00,,,,,28.9,21.5,19.0,15.0,12.4,9.7,3.0,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18,LosAngeles_CA,PM25
06,037,0002,88101,21,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 1997,Quarterly Means of Daily Means,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2019,Micrograms/cubic meter (LC),Events Excluded,59,100.0,Y,60,60,0,0,,,Certified,9.686441,5.143005,28.9,2019-11-14 00:00,21.5,2019-01-30 00:00,19.0,2019-12-14 00:00,17.4,2019-04-24 00:00,,,,,28.9,21.5,19.0,15.0,12.4,9.7,3.0,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18,LosAngeles_CA,PM25
06,037,0002,88101,21,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2024,Daily Mean,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2019,Micrograms/cubic meter (LC),Events Excluded,59,100.0,Y,60,60,0,0,0.0,0.0,Certified,9.686441,5.143005,28.9,2019-11-14 00:00,21.5,2019-01-30 00:00,19.0,2019-12-14 00:00,17.4,2019-04-24 00:00,,,,,28.9,21.5,19.0,15.0,12.4,9.7,3.0,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18,LosAngeles_CA,PM25
06,037,0002,88101,21,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2024,Quarterly Means of Daily Means,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2019,Micrograms/cubic meter (LC),Events Excluded,59,100.0,Y,60,60,0,0,32.0,5.0,Certified,9.686441,5.143005,28.9,2019-11-14 00:00,21.5,2019-01-30 00:00,19.0,2019-12-14 00:00,17.4,2019-04-24 00:00,,,,,28.9,21.5,19.0,15.0,12.4,9.7,3.0,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18,LosAngeles_CA,PM25
06,037,0002,88101,21,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2019,Micrograms/cubic meter (LC),Events Included,60,100.0,Y,60,60,1,0,1.0,1.0,Certified,10.691667,9.307575,70.0,2019-07-05 00:00,28.9,2019-11-14 00:00,21.5,2019-01-30 00:00,19.0,2019-12-14 00:00,,,,,70.0,28.9,21.5,16.7,12.5,10.0,3.7,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18,LosAngeles_CA,PM25
06,037,0002,88101,21,34.1365,-117.92391,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2019,Micrograms/cubic meter (LC),Events Included,60,100.0,Y,60,60,1,0,,,Certified,10.691667,9.307575,70.0,2019-07-05 00:00,28.9,2019-11-14 00:00,21.5,2019-01-30 00:00,19.0,2019-12-14 00:00,,,,,70.0,28.9,21.5,16.7,12.5,10.0,3.7,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-18,LosAngeles_CA,PM25
