county,county_norm,state,county_fips,year,param,aqs_mean
Alameda,alameda,06,001,2014,88101,8.503201527777778
Butte,butte,06,007,2014,88101,8.807407
Calaveras,calaveras,06,009,2014,88101,7.902212888888889
Colusa,colusa,06,011,2014,88101,6.798817333333333
Contra Costa,contra costa,06,013,2014,88101,8.558965944444445
Fresno,fresno,06,019,2014,88101,14.481616529411765
Humboldt,humboldt,06,023,2014,88101,6.793478076923078
Imperial,imperial,06,025,2014,88101,12.816378384615385
Inyo,inyo,06,027,2014,88101,7.899775529411763
Kern,kern,06,029,2014,88101,15.095503753846154
Kings,kings,06,031,2014,88101,16.18431535294118
Lake,lake,06,033,2014,88101,4.065574
Los Angeles,los angeles,06,037,2014,88101,13.962201277777776
Madera,madera,06,039,2014,88101,11.009963222222222
Marin,marin,06,041,2014,88101,10.771353555555557
Mendocino,mendocino,06,045,2014,88101,7.9488865
Merced,merced,06,047,2014,88101,11.090135294117646
Monterey,monterey,06,053,2014,88101,4.742090971428571
Napa,napa,06,055,2014,88101,11.954567555555556
Nevada,nevada,06,057,2014,88101,5.29565025
Orange,orange,06,059,2014,88101,11.97400825
Placer,placer,06,061,2014,88101,6.367577799999999
Plumas,plumas,06,063,2014,88101,14.017459500000001
Riverside,riverside,06,065,2014,88101,13.105877560975607
Sacramento,sacramento,06,067,2014,88101,8.16734258
San Benito,san benito,06,069,2014,88101,4.637751888888889
San Bernardino,san bernardino,06,071,2014,88101,12.6145505
San Diego,san diego,06,073,2014,88101,8.46373230909091
San Francisco,san francisco,06,075,2014,88101,7.643212666666666
San Joaquin,san joaquin,06,077,2014,88101,10.911770296296298
San Luis Obispo,san luis obispo,06,079,2014,88101,8.703836444444445
San Mateo,san mateo,06,081,2014,88101,7.116057555555555
Santa Barbara,santa barbara,06,083,2014,88101,8.136659740740741
Santa Clara,santa clara,06,085,2014,88101,7.83076137142857
Santa Cruz,santa cruz,06,087,2014,88101,8.609489250000001
Shasta,shasta,06,089,2014,88101,5.32236
Siskiyou,siskiyou,06,093,2014,88101,9.466950333333333
Solano,solano,06,095,2014,88101,9.933453777777778
Sonoma,sonoma,06,097,2014,88101,7.751758888888888
Stanislaus,stanislaus,06,099,2014,88101,11.808876730769233
Sutter,sutter,06,101,2014,88101,9.320382
Tulare,tulare,06,107,2014,88101,17.862097
Ventura,ventura,06,111,2014,88101,8.66137121794872
Yolo,yolo,06,113,2014,88101,5.885965
Alameda,alameda,06,001,2014,44201,0.034263812500000004
Amador,amador,06,005,2014,44201,0.04627075
Butte,butte,06,007,2014,44201,0.044863
Calaveras,calaveras,06,009,2014,44201,0.0450185
Colusa,colusa,06,011,2014,44201,0.03959825
Contra Costa,contra costa,06,013,2014,44201,0.0377285625
El Dorado,el dorado,06,017,2014,44201,0.05444508333333334
Fresno,fresno,06,019,2014,44201,0.05342870833333333
Glenn,glenn,06,021,2014,44201,0.042099
Humboldt,humboldt,06,023,2014,44201,0.02829325
Imperial,imperial,06,025,2014,44201,0.048458999999999995
Inyo,inyo,06,027,2014,44201,0.04848275
Kern,kern,06,029,2014,44201,0.0549584375
Kings,kings,06,031,2014,44201,0.0520175
Lake,lake,06,033,2014,44201,0.04176725
Los Angeles,los angeles,06,037,2014,44201,0.04757305357142857
Madera,madera,06,039,2014,44201,0.052937416666666674
Marin,marin,06,041,2014,44201,0.03186125
Mariposa,mariposa,06,043,2014,44201,0.055922625000000004
Mendocino,mendocino,06,045,2014,44201,0.03402375
Merced,merced,06,047,2014,44201,0.051456
Monterey,monterey,06,053,2014,44201,0.03638
Napa,napa,06,055,2014,44201,0.033616
Nevada,nevada,06,057,2014,44201,0.055313375
