year,param,state,county_fips,reason
2014,88101,06,003,no_data_or_unavailable (status=200)
2014,88101,06,005,no_data_or_unavailable (status=200)
2014,88101,06,015,no_data_or_unavailable (status=200)
2014,88101,06,017,no_data_or_unavailable (status=200)
2014,88101,06,021,no_data_or_unavailable (status=200)
2014,88101,06,035,no_data_or_unavailable (status=200)
2014,88101,06,043,no_data_or_unavailable (status=200)
2014,88101,06,049,no_data_or_unavailable (status=200)
2014,88101,06,051,no_data_or_unavailable (status=200)
2014,88101,06,091,no_data_or_unavailable (status=200)
2014,88101,06,103,no_data_or_unavailable (status=200)
2014,88101,06,105,no_data_or_unavailable (status=200)
2014,88101,06,109,no_data_or_unavailable (status=200)
2014,88101,06,115,no_data_or_unavailable (status=200)
2014,44201,06,003,no_data_or_unavailable (status=200)
2014,44201,06,015,no_data_or_unavailable (status=200)
2014,44201,06,035,no_data_or_unavailable (status=200)
2014,44201,06,049,no_data_or_unavailable (status=200)
2014,44201,06,051,no_data_or_unavailable (status=200)
2014,44201,06,063,no_data_or_unavailable (status=200)
2014,44201,06,091,no_data_or_unavailable (status=200)
2014,44201,06,105,no_data_or_unavailable (status=200)
2014,44201,06,115,no_data_or_unavailable (status=200)
2019,88101,06,003,no_data_or_unavailable (status=200)
2019,88101,06,005,no_data_or_unavailable (status=200)
2019,88101,06,015,no_data_or_unavailable (status=200)
2019,88101,06,017,no_data_or_unavailable (status=200)
2019,88101,06,021,no_data_or_unavailable (status=200)
2019,88101,06,035,no_data_or_unavailable (status=200)
2019,88101,06,043,no_data_or_unavailable (status=200)
2019,88101,06,049,no_data_or_unavailable (status=200)
2019,88101,06,091,no_data_or_unavailable (status=200)
2019,88101,06,105,no_data_or_unavailable (status=200)
2019,88101,06,109,no_data_or_unavailable (status=200)
2019,88101,06,115,no_data_or_unavailable (status=200)
2019,44201,06,003,no_data_or_unavailable (status=200)
2019,44201,06,015,no_data_or_unavailable (status=200)
2019,44201,06,035,no_data_or_unavailable (status=200)
2019,44201,06,049,no_data_or_unavailable (status=200)
2019,44201,06,051,no_data_or_unavailable (status=200)
2019,44201,06,063,no_data_or_unavailable (status=200)
2019,44201,06,091,no_data_or_unavailable (status=200)
2019,44201,06,105,no_data_or_unavailable (status=200)
2019,44201,06,115,no_data_or_unavailable (status=200)
2021,88101,06,003,no_data_or_unavailable (status=200)
2021,88101,06,005,no_data_or_unavailable (status=200)
2021,88101,06,015,no_data_or_unavailable (status=200)
2021,88101,06,017,no_data_or_unavailable (status=200)
2021,88101,06,021,no_data_or_unavailable (status=200)
2021,88101,06,035,no_data_or_unavailable (status=200)
2021,88101,06,043,no_data_or_unavailable (status=200)
2021,88101,06,049,no_data_or_unavailable (status=200)
2021,88101,06,091,no_data_or_unavailable (status=200)
2021,88101,06,105,no_data_or_unavailable (status=200)
2021,88101,06,109,no_data_or_unavailable (status=200)
2021,88101,06,115,no_data_or_unavailable (status=200)
2021,44201,06,003,no_data_or_unavailable (status=200)
2021,44201,06,015,no_data_or_unavailable (status=200)
2021,44201,06,035,no_data_or_unavailable (status=200)
2021,44201,06,049,no_data_or_unavailable (status=200)
2021,44201,06,051,no_data_or_unavailable (status=200)
2021,44201,06,063,no_data_or_unavailable (status=200)
2021,44201,06,091,no_data_or_unavailable (status=200)
2021,44201,06,105,no_data_or_unavailable (status=200)
2021,44201,06,115,no_data_or_unavailable (status=200)
