census_tract,latitude,longitude,delta_2014_2021
6001400100,37.8675947,-122.2319033,-7.27076615267745
6001400200,37.848171,-122.2495763,-4.22596198501385
6001400300,37.8405983,-122.2544365,-0.5930662862704992
6001400400,37.8482107,-122.2574628,0.5902014349242002
6001400500,37.8485167,-122.2647445,-1.1802127667593005
6001400600,37.8419909,-122.2648882,3.3653949071659994
6001400700,37.8417578,-122.2723135,9.240952966767598
6001400800,37.8454493,-122.2833803,11.615512095409102
6001400900,37.8394669,-122.2802437,19.533728980971
6001401000,37.831217,-122.2719625,12.486676677950701
6001401100,37.8304835,-122.2638645,8.579241117585699
6001401200,37.8305977,-122.2579072,4.6117921836268
6001401300,37.8180997,-122.2667133,5.756124012269602
6001401400,37.8207387,-122.2733758,4.313362015608895
6001401500,37.8229232,-122.2806358,11.307842995135097
6001401600,37.8173716,-122.2814825,12.334189834848793
6001401700,37.8134257,-122.3193044,4.8097635505399055
6001401800,37.809532,-122.298236,13.7620543997172
6001402200,37.8063512,-122.2963076,23.1125934590897
6001402400,37.812031,-122.2824569,-1.7209875349616013
6001402500,37.8057305,-122.2847803,9.799322746177502
6001402600,37.8042711,-122.2799541,0.4157268401433001
6001402700,37.8103872,-122.2769914,0.11464576004399873
6001402800,37.8087183,-122.2715003,2.1052623130713
6001402900,37.8071501,-122.26681,2.796704795413106
6001403000,37.8004265,-122.270732,9.617940780044798
6001403100,37.8022742,-122.2755009,5.519860075402903
6001403300,37.7944308,-122.2663244,15.458603278905102
6001403400,37.8047578,-122.2616693,-0.2880375557190007
6001403501,37.8177294,-122.2600769,-4.716762940693702
6001403502,37.8159606,-122.2569405,4.283787714689698
6001403600,37.8135127,-122.253492,8.7832987335874
6001403701,37.8112134,-122.2586656,2.5946819110970996
6001403702,37.8095265,-122.2520804,-0.3172487388172005
6001403800,37.8148343,-122.2416233,3.19191684101831
6001403900,37.8171931,-122.2487541,3.3566761950268997
6001404000,37.8232774,-122.2536542,-2.8030899678371703
6001404101,37.8300772,-122.2497952,-1.5472409180483204
6001404102,37.8260219,-122.2510667,-6.532218359148795
6001404200,37.8361078,-122.2344651,-3.9600632477557607
6001404300,37.8451917,-122.2381008,-5.349941627366808
6001404400,37.8462442,-122.2150894,-3.868884624072499
6001404501,37.8271275,-122.2171515,-6.3221513653381205
6001404502,37.8345259,-122.2026154,-1.3577469119808798
6001404600,37.8197458,-122.1910599,-1.948485376677099
6001404700,37.8133625,-122.2070119,-5.5645088879862294
6001404800,37.8055076,-122.2131962,-0.4512226814377005
6001404900,37.8041479,-122.2215015,-3.150435531499701
6001405000,37.8121648,-122.2190899,-5.626830899431851
6001405100,37.8114477,-122.2321836,-4.349179575150379
6001405200,37.8052604,-122.2433878,-0.3561312068380005
6001405301,37.8020757,-122.2513558,5.537246479484303
6001405302,37.7985014,-122.2542495,-0.7987280646031962
6001405401,37.7965384,-122.2494562,1.133035158332703
6001405402,37.7933319,-122.2461006,3.9319147279122006
6001405500,37.7982821,-122.243279,3.200861766256299
6001405600,37.8008019,-122.2372726,-2.8412253076363996
