county,year,ces_score
San Bernardino,2014,80.70006006512541
Los Angeles,2014,77.801778096431
Los Angeles,2014,76.3244126587
San Bernardino,2014,73.41844007414228
San Bernardino,2014,72.0671772581961
Los Angeles,2014,71.5521397964091
Los Angeles,2014,70.0282101793999
Los Angeles,2014,69.1390607987754
Los Angeles,2014,68.9128888953818
Riverside ,2014,68.617450778466
San Bernardino,2014,68.3501278364384
San Bernardino,2014,68.2917146506013
San Bernardino,2014,68.0812726017762
Los Angeles,2014,68.0374871249422
Los Angeles,2014,67.6733474924533
San Bernardino,2014,67.5278742935373
Los Angeles,2014,67.3292331631898
Riverside ,2014,67.2470202699742
Los Angeles,2014,66.9575992230599
Los Angeles,2014,66.9097564324694
Los Angeles,2014,66.8288951456784
Los Angeles,2014,66.8057331061644
Los Angeles,2014,66.6950047995861
Riverside ,2014,66.4509520165155
Los Angeles,2014,66.3255134310402
Los Angeles,2014,66.1888219321603
Los Angeles,2014,65.8187336137689
Los Angeles,2014,65.6342908138576
Los Angeles,2014,65.6224226199401
San Bernardino,2014,65.5568307037086
San Bernardino,2014,65.5431822303097
Los Angeles,2014,65.5413530186545
Los Angeles,2014,65.4109018081743
Los Angeles,2014,65.3236706584704
Los Angeles,2014,65.1840070717524
Los Angeles,2014,65.0044366010968
San Bernardino,2014,64.9097891278293
Los Angeles,2014,64.7914444225445
Los Angeles,2014,64.7305682248955
Los Angeles,2014,64.297546428419
Los Angeles,2014,64.2407224043805
Los Angeles,2014,64.2004937951786
San Bernardino,2014,64.0360399017236
San Bernardino,2014,63.9774751949657
Los Angeles,2014,63.9185327630687
Los Angeles,2014,63.7106278424251
Los Angeles,2014,63.6379296491804
San Bernardino,2014,63.5207623396864
Los Angeles,2014,63.3227833054952
Los Angeles,2014,63.307043876145
Los Angeles,2014,63.298714319979
Los Angeles,2014,63.266111671667
Los Angeles,2014,63.214214011409
San Bernardino,2014,63.0665152426695
San Bernardino,2014,62.958130754469
Los Angeles,2014,62.910407484870895
San Bernardino,2014,62.7204695035542
San Bernardino,2014,62.6131111043964
Riverside ,2014,62.590959821676
Los Angeles,2014,62.549766162664895
San Bernardino,2014,62.5031258764705
Los Angeles,2014,62.4700674181547
Los Angeles,2014,62.4034535703514
San Bernardino,2014,62.3992030475784
Los Angeles,2014,62.034543857197
Los Angeles,2014,62.0122167764447
Los Angeles,2014,61.9377035825366
Los Angeles,2014,61.6574287198823
Los Angeles,2014,61.6465379348014
Los Angeles,2014,61.5419871514089
Los Angeles,2014,61.4392239923631
San Bernardino,2014,61.4235809659467
Los Angeles,2014,61.3877987719929
Riverside ,2014,61.3771039927727
San Bernardino,2014,61.3668713983451
San Bernardino,2014,61.3643760842432
Riverside ,2014,61.3169796548587
